==============================================================================================================================================================================================
 Package                                               Architecture                 Version                                                      Repository                              Size
==============================================================================================================================================================================================
Installing:
 kernel                                                x86_64                       4.18.0-553.69.1.el8_10                                       rhel08-baseos                           11 M
 kernel-devel                                          x86_64                       4.18.0-553.69.1.el8_10                                       rhel08-baseos                           24 M
 kernel-modules-extra                                  x86_64                       4.18.0-553.69.1.el8_10                                       rhel08-baseos                           11 M
Upgrading:
 apptainer                                             x86_64                       1.4.1-1.el8                                                  epel                                    44 M
 audit-libs                                            x86_64                       3.1.2-1.el8_10.1                                             rhel08-baseos                          125 k
 autofs                                                x86_64                       1:5.1.4-114.el8_10.4                                         rhel08-baseos                          720 k
 cuda-toolkit-12-9-config-common                       noarch                       12.9.79-1                                                    cuda                                   7.8 k
 cuda-toolkit-12-config-common                         noarch                       12.9.79-1                                                    cuda                                   8.0 k
 cuda-toolkit-config-common                            noarch                       13.0.48-1                                                    cuda                                   7.9 k
 cvmfs                                                 x86_64                       2.13.2-1.el8                                                 cvmfs                                   16 M
 cvmfs-libs                                            x86_64                       2.13.2-1.el8                                                 cvmfs                                   12 M
 device-mapper                                         x86_64                       8:1.02.181-15.el8_10.2                                       rhel08-baseos                          379 k
 device-mapper-libs                                    x86_64                       8:1.02.181-15.el8_10.2                                       rhel08-baseos                          412 k
 dkms                                                  noarch                       3.2.1-1.el8                                                  epel                                    90 k
 dracut                                                x86_64                       049-237.git20250603.el8_10                                   rhel08-baseos                          381 k
 dracut-network                                        x86_64                       049-237.git20250603.el8_10                                   rhel08-baseos                          112 k
 e2fsprogs                                             x86_64                       1.45.6-6.el8_10                                              rhel08-baseos                          1.0 M
 e2fsprogs-libs                                        x86_64                       1.45.6-6.el8_10                                              rhel08-baseos                          233 k
 egl-x11                                               x86_64                       1.0.2-1.el8                                                  cuda                                    57 k
 emacs                                                 x86_64                       1:26.1-15.el8_10                                             rhel08-appstream                       3.2 M
 emacs-common                                          x86_64                       1:26.1-15.el8_10                                             rhel08-appstream                        39 M
 emacs-filesystem                                      noarch                       1:26.1-15.el8_10                                             rhel08-baseos                           71 k
 emacs-nox                                             x86_64                       1:26.1-15.el8_10                                             rhel08-appstream                       2.8 M
 gdk-pixbuf2                                           x86_64                       2.36.12-7.el8_10                                             rhel08-baseos                          467 k
 gdk-pixbuf2-modules                                   x86_64                       2.36.12-7.el8_10                                             rhel08-appstream                       109 k
 gds-tools-12-9                                        x86_64                       1.14.1.1-1                                                   cuda                                    42 M
 git                                                   x86_64                       2.43.7-1.el8_10                                              rhel08-appstream                        93 k
 git-core                                              x86_64                       2.43.7-1.el8_10                                              rhel08-appstream                        11 M
 git-core-doc                                          noarch                       2.43.7-1.el8_10                                              rhel08-appstream                       3.1 M
 glibc                                                 x86_64                       2.28-251.el8_10.25                                           rhel08-baseos                          2.2 M
 glibc-all-langpacks                                   x86_64                       2.28-251.el8_10.25                                           rhel08-baseos                           26 M
 glibc-common                                          x86_64                       2.28-251.el8_10.25                                           rhel08-baseos                          1.0 M
 glibc-devel                                           x86_64                       2.28-251.el8_10.25                                           rhel08-baseos                           89 k
 glibc-gconv-extra                                     x86_64                       2.28-251.el8_10.25                                           rhel08-baseos                          1.6 M
 glibc-headers                                         x86_64                       2.28-251.el8_10.25                                           rhel08-baseos                          494 k
 grub2-common                                          noarch                       1:2.02-167.el8_10                                            rhel08-baseos                          898 k
 grub2-tools                                           x86_64                       1:2.02-167.el8_10                                            rhel08-baseos                          2.0 M
 grub2-tools-minimal                                   x86_64                       1:2.02-167.el8_10                                            rhel08-baseos                          217 k
 kernel-headers                                        x86_64                       4.18.0-553.69.1.el8_10                                       rhel08-baseos                           12 M
 kernel-tools                                          x86_64                       4.18.0-553.69.1.el8_10                                       rhel08-baseos                           11 M
 kernel-tools-libs                                     x86_64                       4.18.0-553.69.1.el8_10                                       rhel08-baseos                           11 M
 kmod-nvidia-latest-dkms                               x86_64                       3:580.65.06-1.el8                                            cuda                                    83 M
 krb5-devel                                            x86_64                       1.18.2-32.el8_10                                             rhel08-baseos                          563 k
 krb5-libs                                             x86_64                       1.18.2-32.el8_10                                             rhel08-baseos                          846 k
 krb5-workstation                                      x86_64                       1.18.2-32.el8_10                                             rhel08-baseos                          960 k
 lftp                                                  x86_64                       4.8.4-6.el8_10                                               rhel08-appstream                       883 k
 libcom_err                                            x86_64                       1.45.6-6.el8_10                                              rhel08-baseos                           50 k
 libcom_err-devel                                      x86_64                       1.45.6-6.el8_10                                              rhel08-baseos                           39 k
 libcufile-12-9                                        x86_64                       1.14.1.1-1                                                   cuda                                   1.2 M
 libcufile-devel-12-9                                  x86_64                       1.14.1.1-1                                                   cuda                                   5.2 M
 libipa_hbac                                           x86_64                       2.9.4-5.el8_10.2                                             rhel08-baseos                          129 k
 libkadm5                                              x86_64                       1.18.2-32.el8_10                                             rhel08-baseos                          189 k
 libnfsidmap                                           x86_64                       1:2.3.3-64.el8_10                                            rhel08-baseos                          123 k
 libnsl                                                x86_64                       2.28-251.el8_10.25                                           rhel08-baseos                          111 k
 libnvidia-cfg                                         x86_64                       3:580.65.06-1.el8                                            cuda                                   147 k
 libnvidia-container-tools                             x86_64                       1.17.8-1                                                     cuda                                    40 k
 libnvidia-container1                                  x86_64                       1.17.8-1                                                     cuda                                   1.0 M
 libnvidia-fbc                                         x86_64                       3:580.65.06-1.el8                                            cuda                                    86 k
 libnvidia-gpucomp                                     x86_64                       3:580.65.06-1.el8                                            cuda                                    20 M
 libnvidia-ml                                          x86_64                       3:580.65.06-1.el8                                            cuda                                   655 k
 libsemanage                                           x86_64                       2.9-12.el8_10                                                rhel08-baseos                          169 k
 libsmbclient                                          x86_64                       4.19.4-9.el8_10                                              rhel08-baseos                          157 k
 libss                                                 x86_64                       1.45.6-6.el8_10                                              rhel08-baseos                           54 k
 libsss_autofs                                         x86_64                       2.9.4-5.el8_10.2                                             rhel08-baseos                          132 k
 libsss_certmap                                        x86_64                       2.9.4-5.el8_10.2                                             rhel08-baseos                          187 k
 libsss_idmap                                          x86_64                       2.9.4-5.el8_10.2                                             rhel08-baseos                          134 k
 libsss_nss_idmap                                      x86_64                       2.9.4-5.el8_10.2                                             rhel08-baseos                          142 k
 libsss_sudo                                           x86_64                       2.9.4-5.el8_10.2                                             rhel08-baseos                          130 k
